location_variable	num_stops	num_searches	num_hits	total_pop_in_precinct	race_base_pop	driver_race	state	city	county
111	1159	251	62	27810	13741	White	CA	San_Diego	San_Diego
112	495	99	24	11914	8054	White	CA	San_Diego	San_Diego
113	509	100	27	12079	8245	White	CA	San_Diego	San_Diego
114	961	173	40	15282	8549	White	CA	San_Diego	San_Diego
115	1137	186	38	49349	24168	White	CA	San_Diego	San_Diego
116	1512	260	73	16294	11210	White	CA	San_Diego	San_Diego
121	2472	193	42	375	325	White	CA	San_Diego	San_Diego
122	8042	1859	327	41558	32461	White	CA	San_Diego	San_Diego
123	1418	271	79	3800	3259	White	CA	San_Diego	San_Diego
124	1331	180	30	30480	23926	White	CA	San_Diego	San_Diego
125	21	1	NA	3213	1942	White	CA	San_Diego	San_Diego
126	63	16	4	9430	4743	White	CA	San_Diego	San_Diego
231	354	20	4	11386	6187	White	CA	San_Diego	San_Diego
232	453	37	3	46630	23855	White	CA	San_Diego	San_Diego
233	400	66	13	41562	25830	White	CA	San_Diego	San_Diego
234	717	75	19	2468	1573	White	CA	San_Diego	San_Diego
235	27	6	1	20821	13224	White	CA	San_Diego	San_Diego
241	188	27	5	68092	18226	White	CA	San_Diego	San_Diego
242	1169	157	36	6235	2297	White	CA	San_Diego	San_Diego
243	256	32	11	1176	712	White	CA	San_Diego	San_Diego
245	22	3	2	15172	7576	White	CA	San_Diego	San_Diego
246	83	9	NA	24873	12587	White	CA	San_Diego	San_Diego
311	859	181	35	27756	16265	White	CA	San_Diego	San_Diego
312	273	58	8	4154	1889	White	CA	San_Diego	San_Diego
313	1927	177	38	3860	1794	White	CA	San_Diego	San_Diego
314	121	30	7	12106	7274	White	CA	San_Diego	San_Diego
315	1690	448	123	1097	690	White	CA	San_Diego	San_Diego
316	98	18	2	9222	4785	White	CA	San_Diego	San_Diego
321	816	162	37	10839	7250	White	CA	San_Diego	San_Diego
322	314	50	9	7047	4824	White	CA	San_Diego	San_Diego
323	160	33	6	21501	14920	White	CA	San_Diego	San_Diego
324	336	64	7	11413	7775	White	CA	San_Diego	San_Diego
325	146	19	5	10755	6317	White	CA	San_Diego	San_Diego
326	301	43	7	10684	5500	White	CA	San_Diego	San_Diego
327	277	57	8	4139	272	White	CA	San_Diego	San_Diego
431	111	29	9	11769	391	White	CA	San_Diego	San_Diego
432	103	33	11	9188	1355	White	CA	San_Diego	San_Diego
433	113	29	7	10948	1284	White	CA	San_Diego	San_Diego
434	122	29	5	356	89	White	CA	San_Diego	San_Diego
435	3	1	NA	8676	780	White	CA	San_Diego	San_Diego
436	123	34	5	32521	2889	White	CA	San_Diego	San_Diego
437	192	51	13	17055	3121	White	CA	San_Diego	San_Diego
438	77	19	2	2530	189	White	CA	San_Diego	San_Diego
439	17	4	NA	16246	891	White	CA	San_Diego	San_Diego
441	199	66	9	5290	105	White	CA	San_Diego	San_Diego
442	79	20	5	4450	202	White	CA	San_Diego	San_Diego
443	49	21	4	5553	259	White	CA	San_Diego	San_Diego
444	94	29	1	4927	353	White	CA	San_Diego	San_Diego
445	76	22	1	9951	310	White	CA	San_Diego	San_Diego
446	184	47	8	6044	1245	White	CA	San_Diego	San_Diego
447	152	51	9	15791	2745	White	CA	San_Diego	San_Diego
451	250	68	18	7094	637	White	CA	San_Diego	San_Diego
452	66	13	2	15861	5770	White	CA	San_Diego	San_Diego
511	716	145	31	14997	601	White	CA	San_Diego	San_Diego
512	1308	211	50	3091	599	White	CA	San_Diego	San_Diego
514	579	94	24	4734	526	White	CA	San_Diego	San_Diego
515	127	27	4	5579	841	White	CA	San_Diego	San_Diego
516	123	32	7	8031	2885	White	CA	San_Diego	San_Diego
517	365	68	22	5434	3374	White	CA	San_Diego	San_Diego
518	135	26	3	7578	3709	White	CA	San_Diego	San_Diego
521	5605	946	225	5069	3228	White	CA	San_Diego	San_Diego
522	577	99	23	872	503	White	CA	San_Diego	San_Diego
523	1540	248	37	5569	3059	White	CA	San_Diego	San_Diego
524	2331	355	80	1117	587	White	CA	San_Diego	San_Diego
525	318	53	6	498	353	White	CA	San_Diego	San_Diego
526	578	60	11	1472	1215	White	CA	San_Diego	San_Diego
527	199	35	4	1471	1189	White	CA	San_Diego	San_Diego
528	358	52	11	8548	5942	White	CA	San_Diego	San_Diego
529	682	121	20	3923	2738	White	CA	San_Diego	San_Diego
531	939	140	38	750	388	White	CA	San_Diego	San_Diego
541	627	133	14	12081	7160	White	CA	San_Diego	San_Diego
611	4347	1258	354	5850	3843	White	CA	San_Diego	San_Diego
612	189	42	15	17785	13166	White	CA	San_Diego	San_Diego
613	1029	263	64	10114	7860	White	CA	San_Diego	San_Diego
614	3085	745	185	4643	3452	White	CA	San_Diego	San_Diego
615	396	65	14	2527	2098	White	CA	San_Diego	San_Diego
617	49	15	1	3903	2918	White	CA	San_Diego	San_Diego
618	84	16	2	2515	1988	White	CA	San_Diego	San_Diego
621	673	115	16	25713	7635	White	CA	San_Diego	San_Diego
622	521	164	25	8805	5604	White	CA	San_Diego	San_Diego
623	690	244	79	2456	1733	White	CA	San_Diego	San_Diego
624	510	129	36	12893	7616	White	CA	San_Diego	San_Diego
625	602	204	46	1116	733	White	CA	San_Diego	San_Diego
626	257	59	13	5798	4414	White	CA	San_Diego	San_Diego
627	2527	588	109	14956	10538	White	CA	San_Diego	San_Diego
628	269	86	21	4962	3387	White	CA	San_Diego	San_Diego
711	21	2	1	7974	504	White	CA	San_Diego	San_Diego
712	792	131	28	26700	784	White	CA	San_Diego	San_Diego
713	376	12	2	6997	954	White	CA	San_Diego	San_Diego
714	171	44	5	194	6	White	CA	San_Diego	San_Diego
721	538	131	25	10021	1902	White	CA	San_Diego	San_Diego
722	250	40	7	14176	1239	White	CA	San_Diego	San_Diego
723	437	82	24	32083	3080	White	CA	San_Diego	San_Diego
724	333	98	22	6161	651	White	CA	San_Diego	San_Diego
725	171	20	2	5529	901	White	CA	San_Diego	San_Diego
811	300	66	14	9589	3934	White	CA	San_Diego	San_Diego
812	25	4		1011	628	White	CA	San_Diego	San_Diego
813	2107	540	141	38778	21081	White	CA	San_Diego	San_Diego
814	183	34	9	5072	3024	White	CA	San_Diego	San_Diego
821	807	110	25	9649	4050	White	CA	San_Diego	San_Diego
822	189	54	8	6641	2235	White	CA	San_Diego	San_Diego
823	93	23	6	4163	1077	White	CA	San_Diego	San_Diego
824	270	61	13	8741	3839	White	CA	San_Diego	San_Diego
825	198	34	6	6147	3861	White	CA	San_Diego	San_Diego
826	277	84	23	11512	410	White	CA	San_Diego	San_Diego
827	46	14	1	5494	447	White	CA	San_Diego	San_Diego
828	39	11	4	2224	232	White	CA	San_Diego	San_Diego
829	0	0	0	692	72	White	CA	San_Diego	San_Diego
831	272	67	16	7467	627	White	CA	San_Diego	San_Diego
832	260	74	20	5332	337	White	CA	San_Diego	San_Diego
833	152	47	10	5662	482	White	CA	San_Diego	San_Diego
834	251	60	10	9883	878	White	CA	San_Diego	San_Diego
835	108	23	7	3019	769	White	CA	San_Diego	San_Diego
836	65	21	6	4185	345	White	CA	San_Diego	San_Diego
837	73	23	4	4372	1072	White	CA	San_Diego	San_Diego
838	234	70	18	7201	1194	White	CA	San_Diego	San_Diego
839	83	16	2	5826	1391	White	CA	San_Diego	San_Diego
841	80	24	4	4124	1483	White	CA	San_Diego	San_Diego
931	629	47	23	8797	3143	White	CA	San_Diego	San_Diego
932	68	12	2	1378	811	White	CA	San_Diego	San_Diego
933	490	48	14	7074	5431	White	CA	San_Diego	San_Diego
934	1226	147	38	42509	23493	White	CA	San_Diego	San_Diego
935	213	30	9	9140	5670	White	CA	San_Diego	San_Diego
936	60	10	2	7789	3932	White	CA	San_Diego	San_Diego
