location_variable	driver_race	num_stops	num_searches	num_hits	state	city	county
111	Asian	106	5.0	2.0	CA	San_Diego	San_Diego
111	Black	130	14.0	2.0	CA	San_Diego	San_Diego
111	Hispanic	339	25.0	7.0	CA	San_Diego	San_Diego
111	Middle Eastern or South Asian	66	1.0	0	CA	San_Diego	San_Diego
111	Native American	2	1.0	1.0	CA	San_Diego	San_Diego
111	Pacific Islander	11	0	0	CA	San_Diego	San_Diego
111	White	578	54.0	16.0	CA	San_Diego	San_Diego
112	Asian	32	0	0	CA	San_Diego	San_Diego
112	Black	39	3.0	1.0	CA	San_Diego	San_Diego
112	Hispanic	102	5.0	0	CA	San_Diego	San_Diego
112	Middle Eastern or South Asian	25	0	1.0	CA	San_Diego	San_Diego
112	Pacific Islander	4	0	0	CA	San_Diego	San_Diego
112	White	289	25.0	8.0	CA	San_Diego	San_Diego
113	Asian	25	1.0	0	CA	San_Diego	San_Diego
113	Black	26	3.0	0	CA	San_Diego	San_Diego
113	Hispanic	79	4.0	1.0	CA	San_Diego	San_Diego
113	Middle Eastern or South Asian	12	1.0	1.0	CA	San_Diego	San_Diego
113	Pacific Islander	5	0	0	CA	San_Diego	San_Diego
113	White	245	22.0	9.0	CA	San_Diego	San_Diego
114	Asian	76	2.0	0	CA	San_Diego	San_Diego
114	Black	100	9.0	3.0	CA	San_Diego	San_Diego
114	Hispanic	308	21.0	7.0	CA	San_Diego	San_Diego
114	Middle Eastern or South Asian	52	0	0	CA	San_Diego	San_Diego
114	Native American	2	0	0	CA	San_Diego	San_Diego
114	Pacific Islander	12	0	0	CA	San_Diego	San_Diego
114	White	541	48.0	11.0	CA	San_Diego	San_Diego
115	Asian	189	1.0	1.0	CA	San_Diego	San_Diego
115	Black	75	3.0	1.0	CA	San_Diego	San_Diego
115	Hispanic	203	7.0	0	CA	San_Diego	San_Diego
115	Middle Eastern or South Asian	98	2.0	0	CA	San_Diego	San_Diego
115	Native American	1	0	0	CA	San_Diego	San_Diego
115	Pacific Islander	9	1.0	0	CA	San_Diego	San_Diego
115	White	545	20.0	10.0	CA	San_Diego	San_Diego
116	Asian	78	2.0	1.0	CA	San_Diego	San_Diego
116	Black	100	7.0	1.0	CA	San_Diego	San_Diego
116	Hispanic	296	19.0	7.0	CA	San_Diego	San_Diego
116	Middle Eastern or South Asian	54	2.0	0	CA	San_Diego	San_Diego
116	Native American	6	0	0	CA	San_Diego	San_Diego
116	Pacific Islander	19	3.0	0	CA	San_Diego	San_Diego
116	White	916	59.0	19.0	CA	San_Diego	San_Diego
121	Asian	93	2.0	0	CA	San_Diego	San_Diego
121	Black	170	10.0	3.0	CA	San_Diego	San_Diego
121	Hispanic	321	9.0	1.0	CA	San_Diego	San_Diego
121	Middle Eastern or South Asian	76	1.0	0	CA	San_Diego	San_Diego
121	Native American	1	0	0	CA	San_Diego	San_Diego
121	Pacific Islander	22	1.0	0	CA	San_Diego	San_Diego
121	White	1181	39.0	10.0	CA	San_Diego	San_Diego
122	Asian	195	8.0	2.0	CA	San_Diego	San_Diego
122	Black	358	34.0	6.0	CA	San_Diego	San_Diego
122	Hispanic	794	42.0	5.0	CA	San_Diego	San_Diego
122	Middle Eastern or South Asian	202	4.0	0	CA	San_Diego	San_Diego
122	Native American	5	0	0	CA	San_Diego	San_Diego
122	Pacific Islander	29	3.0	0	CA	San_Diego	San_Diego
122	White	2798	158.0	44.0	CA	San_Diego	San_Diego
123	Asian	25	3.0	0	CA	San_Diego	San_Diego
123	Black	76	9.0	2.0	CA	San_Diego	San_Diego
123	Hispanic	160	16.0	5.0	CA	San_Diego	San_Diego
123	Middle Eastern or South Asian	28	1.0	0	CA	San_Diego	San_Diego
123	Native American	1	0	0	CA	San_Diego	San_Diego
123	Pacific Islander	3	0	0	CA	San_Diego	San_Diego
123	White	457	41.0	15.0	CA	San_Diego	San_Diego
124	Asian	72	2.0	1.0	CA	San_Diego	San_Diego
124	Black	45	0	0	CA	San_Diego	San_Diego
124	Hispanic	153	4.0	1.0	CA	San_Diego	San_Diego
124	Middle Eastern or South Asian	55	0	0	CA	San_Diego	San_Diego
124	Pacific Islander	6	0	0	CA	San_Diego	San_Diego
124	White	627	15.0	3.0	CA	San_Diego	San_Diego
125	Asian	2	0	0	CA	San_Diego	San_Diego
125	Black	2	0	0	CA	San_Diego	San_Diego
125	Hispanic	6	0	0	CA	San_Diego	San_Diego
125	Middle Eastern or South Asian	1	0	0	CA	San_Diego	San_Diego
125	White	20	0	0	CA	San_Diego	San_Diego
126	Asian	5	0	0	CA	San_Diego	San_Diego
126	Black	4	0	0	CA	San_Diego	San_Diego
126	Hispanic	13	0	0	CA	San_Diego	San_Diego
126	Middle Eastern or South Asian	3	0	0	CA	San_Diego	San_Diego
126	White	23	2.0	1.0	CA	San_Diego	San_Diego
231	Asian	65	0	0	CA	San_Diego	San_Diego
231	Black	15	0	0	CA	San_Diego	San_Diego
231	Hispanic	87	0	0	CA	San_Diego	San_Diego
231	Middle Eastern or South Asian	46	0	0	CA	San_Diego	San_Diego
231	Pacific Islander	12	0	0	CA	San_Diego	San_Diego
231	White	286	7.0	2.0	CA	San_Diego	San_Diego
232	Asian	31	0	0	CA	San_Diego	San_Diego
232	Black	13	0	0	CA	San_Diego	San_Diego
232	Hispanic	46	1.0	1.0	CA	San_Diego	San_Diego
232	Middle Eastern or South Asian	30	0	0	CA	San_Diego	San_Diego
232	Pacific Islander	7	1.0	1.0	CA	San_Diego	San_Diego
232	White	308	0	0	CA	San_Diego	San_Diego
233	Asian	59	0	0	CA	San_Diego	San_Diego
233	Black	30	2.0	0	CA	San_Diego	San_Diego
233	Hispanic	56	5.0	0	CA	San_Diego	San_Diego
233	Middle Eastern or South Asian	31	0	0	CA	San_Diego	San_Diego
233	Pacific Islander	6	0	0	CA	San_Diego	San_Diego
233	White	152	6.0	0	CA	San_Diego	San_Diego
234	Asian	75	1.0	1.0	CA	San_Diego	San_Diego
234	Black	44	0	0	CA	San_Diego	San_Diego
234	Hispanic	122	1.0	0	CA	San_Diego	San_Diego
234	Middle Eastern or South Asian	59	0	0	CA	San_Diego	San_Diego
234	Native American	1	0	0	CA	San_Diego	San_Diego
234	Pacific Islander	12	1.0	0	CA	San_Diego	San_Diego
234	White	444	3.0	1.0	CA	San_Diego	San_Diego
235	Black	4	0	0	CA	San_Diego	San_Diego
235	Hispanic	7	0	0	CA	San_Diego	San_Diego
235	White	13	1.0	1.0	CA	San_Diego	San_Diego
241	Asian	20	0	0	CA	San_Diego	San_Diego
241	Black	7	0	0	CA	San_Diego	San_Diego
241	Hispanic	29	2.0	0	CA	San_Diego	San_Diego
241	Middle Eastern or South Asian	11	0	0	CA	San_Diego	San_Diego
241	Native American	1	0	0	CA	San_Diego	San_Diego
241	Pacific Islander	4	0	0	CA	San_Diego	San_Diego
241	White	88	2.0	0	CA	San_Diego	San_Diego
242	Asian	450	8.0	3.0	CA	San_Diego	San_Diego
242	Black	141	11.0	4.0	CA	San_Diego	San_Diego
242	Hispanic	295	9.0	1.0	CA	San_Diego	San_Diego
242	Middle Eastern or South Asian	149	0	0	CA	San_Diego	San_Diego
242	Native American	1	1.0	0	CA	San_Diego	San_Diego
242	Pacific Islander	47	3.0	0	CA	San_Diego	San_Diego
242	White	568	12.0	8.0	CA	San_Diego	San_Diego
243	Asian	47	1.0	0	CA	San_Diego	San_Diego
243	Black	29	0	0	CA	San_Diego	San_Diego
243	Hispanic	82	6.0	0	CA	San_Diego	San_Diego
243	Middle Eastern or South Asian	25	0	0	CA	San_Diego	San_Diego
243	Pacific Islander	7	0	0	CA	San_Diego	San_Diego
243	White	161	4.0	2.0	CA	San_Diego	San_Diego
245	Hispanic	1	0	0	CA	San_Diego	San_Diego
245	White	5	0	0	CA	San_Diego	San_Diego
246	Asian	10	0	0	CA	San_Diego	San_Diego
246	Black	1	0	0	CA	San_Diego	San_Diego
246	Hispanic	7	1.0	0	CA	San_Diego	San_Diego
246	Middle Eastern or South Asian	9	0	0	CA	San_Diego	San_Diego
246	Pacific Islander	6	0	0	CA	San_Diego	San_Diego
246	White	39	0	0	CA	San_Diego	San_Diego
311	Asian	65	0	0	CA	San_Diego	San_Diego
311	Black	163	17.0	9.0	CA	San_Diego	San_Diego
311	Hispanic	202	10.0	3.0	CA	San_Diego	San_Diego
311	Middle Eastern or South Asian	77	0	0	CA	San_Diego	San_Diego
311	Native American	1	0	0	CA	San_Diego	San_Diego
311	Pacific Islander	14	0	0	CA	San_Diego	San_Diego
311	White	435	26.0	9.0	CA	San_Diego	San_Diego
312	Asian	20	0	0	CA	San_Diego	San_Diego
312	Black	23	1.0	0	CA	San_Diego	San_Diego
312	Hispanic	54	1.0	0	CA	San_Diego	San_Diego
312	Middle Eastern or South Asian	9	0	0	CA	San_Diego	San_Diego
312	Pacific Islander	3	0	0	CA	San_Diego	San_Diego
312	White	117	4.0	0	CA	San_Diego	San_Diego
313	Asian	562	3.0	1.0	CA	San_Diego	San_Diego
313	Black	277	14.0	5.0	CA	San_Diego	San_Diego
313	Hispanic	714	18.0	4.0	CA	San_Diego	San_Diego
313	Middle Eastern or South Asian	176	1.0	1.0	CA	San_Diego	San_Diego
313	Native American	3	0	0	CA	San_Diego	San_Diego
313	Pacific Islander	43	0	0	CA	San_Diego	San_Diego
313	White	1390	25.0	13.0	CA	San_Diego	San_Diego
314	Asian	6	0	0	CA	San_Diego	San_Diego
314	Black	13	1.0	1.0	CA	San_Diego	San_Diego
314	Hispanic	35	4.0	1.0	CA	San_Diego	San_Diego
314	Middle Eastern or South Asian	4	0	0	CA	San_Diego	San_Diego
314	Pacific Islander	1	0	0	CA	San_Diego	San_Diego
314	White	31	1.0	1.0	CA	San_Diego	San_Diego
315	Asian	124	3.0	1.0	CA	San_Diego	San_Diego
315	Black	191	23.0	13.0	CA	San_Diego	San_Diego
315	Hispanic	356	25.0	12.0	CA	San_Diego	San_Diego
315	Middle Eastern or South Asian	107	2.0	2.0	CA	San_Diego	San_Diego
315	Pacific Islander	14	1.0	1.0	CA	San_Diego	San_Diego
315	White	744	86.0	33.0	CA	San_Diego	San_Diego
316	Asian	11	0	0	CA	San_Diego	San_Diego
316	Black	24	5.0	4.0	CA	San_Diego	San_Diego
316	Hispanic	35	0	0	CA	San_Diego	San_Diego
316	Middle Eastern or South Asian	7	0	0	CA	San_Diego	San_Diego
316	Pacific Islander	3	0	0	CA	San_Diego	San_Diego
316	White	39	0	0	CA	San_Diego	San_Diego
321	Asian	40	3.0	1.0	CA	San_Diego	San_Diego
321	Black	90	13.0	5.0	CA	San_Diego	San_Diego
321	Hispanic	156	13.0	3.0	CA	San_Diego	San_Diego
321	Middle Eastern or South Asian	32	0	0	CA	San_Diego	San_Diego
321	Pacific Islander	2	0	0	CA	San_Diego	San_Diego
321	White	309	21.0	8.0	CA	San_Diego	San_Diego
322	Asian	13	0	0	CA	San_Diego	San_Diego
322	Black	28	0	0	CA	San_Diego	San_Diego
322	Hispanic	66	5.0	1.0	CA	San_Diego	San_Diego
322	Middle Eastern or South Asian	20	0	0	CA	San_Diego	San_Diego
322	Pacific Islander	2	0	0	CA	San_Diego	San_Diego
322	White	157	4.0	1.0	CA	San_Diego	San_Diego
323	Asian	6	0	0	CA	San_Diego	San_Diego
323	Black	12	1.0	0	CA	San_Diego	San_Diego
323	Hispanic	22	2.0	1.0	CA	San_Diego	San_Diego
323	Middle Eastern or South Asian	9	0	0	CA	San_Diego	San_Diego
323	White	65	3.0	2.0	CA	San_Diego	San_Diego
324	Asian	10	0	0	CA	San_Diego	San_Diego
324	Black	28	1.0	1.0	CA	San_Diego	San_Diego
324	Hispanic	55	1.0	0	CA	San_Diego	San_Diego
324	Middle Eastern or South Asian	9	0	0	CA	San_Diego	San_Diego
324	Pacific Islander	2	0	0	CA	San_Diego	San_Diego
324	White	161	4.0	0	CA	San_Diego	San_Diego
325	Asian	12	1.0	0	CA	San_Diego	San_Diego
325	Black	10	0	1.0	CA	San_Diego	San_Diego
325	Hispanic	34	0	0	CA	San_Diego	San_Diego
325	Middle Eastern or South Asian	7	0	0	CA	San_Diego	San_Diego
325	Pacific Islander	1	0	0	CA	San_Diego	San_Diego
325	White	77	3.0	2.0	CA	San_Diego	San_Diego
326	Asian	38	1.0	1.0	CA	San_Diego	San_Diego
326	Black	65	7.0	5.0	CA	San_Diego	San_Diego
326	Hispanic	92	2.0	0	CA	San_Diego	San_Diego
326	Middle Eastern or South Asian	22	0	0	CA	San_Diego	San_Diego
326	Native American	2	1.0	0	CA	San_Diego	San_Diego
326	Pacific Islander	6	0	0	CA	San_Diego	San_Diego
326	White	152	7.0	3.0	CA	San_Diego	San_Diego
327	Asian	19	1.0	1.0	CA	San_Diego	San_Diego
327	Black	67	8.0	6.0	CA	San_Diego	San_Diego
327	Hispanic	80	4.0	2.0	CA	San_Diego	San_Diego
327	Middle Eastern or South Asian	20	0	0	CA	San_Diego	San_Diego
327	Pacific Islander	2	0	0	CA	San_Diego	San_Diego
327	White	103	6.0	1.0	CA	San_Diego	San_Diego
431	Asian	35	1.0	1.0	CA	San_Diego	San_Diego
431	Black	170	24.0	6.0	CA	San_Diego	San_Diego
431	Hispanic	187	10.0	5.0	CA	San_Diego	San_Diego
431	Middle Eastern or South Asian	14	1.0	0	CA	San_Diego	San_Diego
431	Pacific Islander	7	0	0	CA	San_Diego	San_Diego
431	White	59	3.0	0	CA	San_Diego	San_Diego
432	Asian	24	1.0	1.0	CA	San_Diego	San_Diego
432	Black	210	46.0	13.0	CA	San_Diego	San_Diego
432	Hispanic	183	25.0	12.0	CA	San_Diego	San_Diego
432	Middle Eastern or South Asian	10	1.0	0	CA	San_Diego	San_Diego
432	Native American	1	0	0	CA	San_Diego	San_Diego
432	Pacific Islander	4	2.0	1.0	CA	San_Diego	San_Diego
432	White	56	14.0	6.0	CA	San_Diego	San_Diego
433	Asian	26	1.0	0	CA	San_Diego	San_Diego
433	Black	144	16.0	5.0	CA	San_Diego	San_Diego
433	Hispanic	133	22.0	9.0	CA	San_Diego	San_Diego
433	Middle Eastern or South Asian	3	0	0	CA	San_Diego	San_Diego
433	Native American	1	0	0	CA	San_Diego	San_Diego
433	Pacific Islander	2	0	0	CA	San_Diego	San_Diego
433	White	62	5.0	2.0	CA	San_Diego	San_Diego
434	Asian	17	2.0	0	CA	San_Diego	San_Diego
434	Black	109	23.0	1.0	CA	San_Diego	San_Diego
434	Hispanic	114	20.0	4.0	CA	San_Diego	San_Diego
434	Middle Eastern or South Asian	2	0	0	CA	San_Diego	San_Diego
434	Native American	1	0	0	CA	San_Diego	San_Diego
434	Pacific Islander	3	1.0	0	CA	San_Diego	San_Diego
434	White	58	8.0	3.0	CA	San_Diego	San_Diego
435	Asian	1	0	0	CA	San_Diego	San_Diego
435	Black	4	1.0	0	CA	San_Diego	San_Diego
435	Hispanic	4	0	0	CA	San_Diego	San_Diego
435	Middle Eastern or South Asian	1	0	0	CA	San_Diego	San_Diego
435	White	2	0	0	CA	San_Diego	San_Diego
436	Asian	29	2.0	1.0	CA	San_Diego	San_Diego
436	Black	198	19.0	5.0	CA	San_Diego	San_Diego
436	Hispanic	115	13.0	6.0	CA	San_Diego	San_Diego
436	Middle Eastern or South Asian	8	0	0	CA	San_Diego	San_Diego
436	Native American	1	0	0	CA	San_Diego	San_Diego
436	Pacific Islander	9	3.0	0	CA	San_Diego	San_Diego
436	White	56	6.0	2.0	CA	San_Diego	San_Diego
437	Asian	93	4.0	3.0	CA	San_Diego	San_Diego
437	Black	187	42.0	10.0	CA	San_Diego	San_Diego
437	Hispanic	180	14.0	10.0	CA	San_Diego	San_Diego
437	Middle Eastern or South Asian	14	3.0	0	CA	San_Diego	San_Diego
437	Pacific Islander	13	3.0	2.0	CA	San_Diego	San_Diego
437	White	83	6.0	2.0	CA	San_Diego	San_Diego
438	Asian	24	3.0	2.0	CA	San_Diego	San_Diego
438	Black	52	5.0	1.0	CA	San_Diego	San_Diego
438	Hispanic	94	14.0	5.0	CA	San_Diego	San_Diego
438	Middle Eastern or South Asian	6	0	0	CA	San_Diego	San_Diego
438	Pacific Islander	4	0	0	CA	San_Diego	San_Diego
438	White	25	1.0	0	CA	San_Diego	San_Diego
439	Asian	11	0	0	CA	San_Diego	San_Diego
439	Black	16	1.0	0	CA	San_Diego	San_Diego
439	Hispanic	19	2.0	0	CA	San_Diego	San_Diego
439	Pacific Islander	1	0	0	CA	San_Diego	San_Diego
439	White	9	0	0	CA	San_Diego	San_Diego
441	Asian	32	3.0	0	CA	San_Diego	San_Diego
441	Black	395	95.0	28.0	CA	San_Diego	San_Diego
441	Hispanic	682	92.0	35.0	CA	San_Diego	San_Diego
441	Middle Eastern or South Asian	16	1.0	0	CA	San_Diego	San_Diego
441	Native American	1	0	0	CA	San_Diego	San_Diego
441	Pacific Islander	6	0	0	CA	San_Diego	San_Diego
