driver_race	location_variable	num_stops	num_searches	num_hits	state	city	county
Black	111	130	14	2	CA	San_Diego	San_Diego
Black	112	39	3	1	CA	San_Diego	San_Diego
Black	113	26	3	0	CA	San_Diego	San_Diego
Black	114	100	9	3	CA	San_Diego	San_Diego
Black	115	75	3	1	CA	San_Diego	San_Diego
Black	116	100	7	1	CA	San_Diego	San_Diego
Black	121	170	10	3	CA	San_Diego	San_Diego
Black	122	358	34	6	CA	San_Diego	San_Diego
Black	123	76	9	2	CA	San_Diego	San_Diego
Black	124	45	0	0	CA	San_Diego	San_Diego
Black	125	2	0	0	CA	San_Diego	San_Diego
Black	126	4	0	0	CA	San_Diego	San_Diego
Black	231	15	0	0	CA	San_Diego	San_Diego
Black	232	13	0	0	CA	San_Diego	San_Diego
Black	233	30	2	0	CA	San_Diego	San_Diego
Black	234	44	0	0	CA	San_Diego	San_Diego
Black	235	4	0	0	CA	San_Diego	San_Diego
Black	241	7	0	0	CA	San_Diego	San_Diego
Black	242	141	11	4	CA	San_Diego	San_Diego
Black	243	29	0	0	CA	San_Diego	San_Diego
Black	246	1	0	0	CA	San_Diego	San_Diego
Black	311	163	17	9	CA	San_Diego	San_Diego
Black	312	23	1	0	CA	San_Diego	San_Diego
Black	313	277	14	5	CA	San_Diego	San_Diego
Black	314	13	1	1	CA	San_Diego	San_Diego
Black	315	191	23	13	CA	San_Diego	San_Diego
Black	316	24	5	4	CA	San_Diego	San_Diego
Black	321	90	13	5	CA	San_Diego	San_Diego
Black	322	28	0	0	CA	San_Diego	San_Diego
Black	323	12	1	0	CA	San_Diego	San_Diego
Black	324	28	1	1	CA	San_Diego	San_Diego
Black	326	65	7	5	CA	San_Diego	San_Diego
Black	327	67	8	6	CA	San_Diego	San_Diego
Black	431	170	24	6	CA	San_Diego	San_Diego
Black	432	210	46	13	CA	San_Diego	San_Diego
Black	433	144	16	5	CA	San_Diego	San_Diego
Black	434	109	23	1	CA	San_Diego	San_Diego
Black	435	4	1	0	CA	San_Diego	San_Diego
Black	436	198	19	5	CA	San_Diego	San_Diego
Black	437	187	42	10	CA	San_Diego	San_Diego
Black	438	52	5	1	CA	San_Diego	San_Diego
Black	439	16	1	0	CA	San_Diego	San_Diego
Black	441	395	95	28	CA	San_Diego	San_Diego
Black	442	110	22	5	CA	San_Diego	San_Diego
Black	443	52	20	5	CA	San_Diego	San_Diego
Black	444	106	18	6	CA	San_Diego	San_Diego
Black	445	99	19	5	CA	San_Diego	San_Diego
Black	446	610	153	24	CA	San_Diego	San_Diego
Black	447	155	30	10	CA	San_Diego	San_Diego
Black	451	155	23	6	CA	San_Diego	San_Diego
Black	452	95	18	1	CA	San_Diego	San_Diego
Black	511	245	51	14	CA	San_Diego	San_Diego
Black	512	290	53	14	CA	San_Diego	San_Diego
Black	514	79	13	6	CA	San_Diego	San_Diego
Black	515	51	9	3	CA	San_Diego	San_Diego
Black	516	46	9	2	CA	San_Diego	San_Diego
Black	517	49	10	1	CA	San_Diego	San_Diego
Black	518	12	1	1	CA	San_Diego	San_Diego
Black	521	814	158	50	CA	San_Diego	San_Diego
Black	522	32	4	3	CA	San_Diego	San_Diego
Black	523	282	32	7	CA	San_Diego	San_Diego
Black	524	225	17	4	CA	San_Diego	San_Diego
Black	525	42	1	0	CA	San_Diego	San_Diego
Black	526	30	3	2	CA	San_Diego	San_Diego
Black	527	4	0	0	CA	San_Diego	San_Diego
Black	528	16	1	0	CA	San_Diego	San_Diego
Black	529	31	3	2	CA	San_Diego	San_Diego
Black	531	40	5	4	CA	San_Diego	San_Diego
Black	541	24	7	1	CA	San_Diego	San_Diego
Black	611	302	85	24	CA	San_Diego	San_Diego
Black	612	9	1	1	CA	San_Diego	San_Diego
Black	613	53	8	1	CA	San_Diego	San_Diego
