driver_race	location_variable	num_stops	num_searches	num_hits
Black	0	8	3	0
Black	1	12	0	0
Black	2	40	2	0
Black	3	2	0	0
Black	4	29	10	1
Black	5	26	7	0
Black	6	19	3	0
Black	7	17	0	0
Black	8	57	10	3
Black	9	270	66	17
Black	11	2	1	0
Black	41	1	0	0
Black	42	2	0	0
Black	45	2	1	0
Black	46	1	1	0
Black	47	11	5	2
Black	51	6	2	0
Black	52	9	0	0
Black	56	1	0	0
Black	201	1	0	0
Black	202	9	1	0
Black	206	27	3	1
Black	210	18	0	0
Black	211	6	1	0
Black	212	11	0	0
Black	214	26	2	1
Black	215	21	1	0
Black	220	4	0	0
Black	221	43	10	2
Black	222	14	1	1
Black	223	30	1	0
Black	224	6	0	0
Black	230	2	0	0
Black	240	9	0	0
Black	241	39	1	1
Black	242	13	2	0
Black	251	1	0	0
Black	252	1	1	0
Black	253	1	0	0
Black	271	9	2	0
Black	272	4	0	0
Black	273	20	5	1
Black	274	12	0	0
Black	281	1	0	0
Black	291	4	0	0
Black	292	11	0	0
Black	293	3	1	0
Black	294	5	1	0
Black	295	3	0	0
Black	301	6	0	0
Black	302	15	2	1
Black	303	20	5	1
Black	304	3	0	0
Black	305	27	8	0
Black	306	29	5	2
Black	307	25	6	3
Black	308	41	12	2
Black	309	10	2	0
Black	310	27	7	1
Black	311	15	3	0
Black	312	31	4	2
Black	313	19	3	2
Black	314	16	10	1
Black	315	17	1	0
Black	316	25	5	3
Black	317	7	0	0
Black	318	9	3	0
Black	319	5	2	2
Black	323	2	1	0
Black	325	1	0	0
Black	326	2	0	0
Black	328	1	0	0
Black	330	3	0	0
Black	331	3	0	0
Black	332	4	1	0
Black	333	7	5	1
Black	349	12	2	1
Black	350	21	7	0
Black	351	31	4	2
Black	352	14	0	0
Black	353	10	4	1
Black	354	25	5	2
Black	355	36	5	2
Black	356	25	3	0
Black	357	39	13	2
Black	358	20	1	0
Black	359	19	3	1
Black	360	26	5	3
Black	361	9	0	0
Black	362	1	0	0
Black	363	3	0	0
Black	364	3	1	0
Black	365	4	1	0
Black	367	6	3	1
Black	373	3	1	0
Black	375	1	0	0
Black	376	1	1	0
Black	377	5	3	0
Black	378	2	0	0
Black	379	1	1	0
Black	381	8	1	0
Black	382	5	2	0
Black	383	3	1	1
Black	384	7	1	0
Black	385	2	0	0
Black	386	4	0	0
Black	387	1	0	0
Black	388	7	0	0
Black	389	1	0	0
Black	390	4	0	0
Black	392	5	2	0
Black	393	3	0	0
Black	394	1	1	0
Black	395	1	0	0
Black	396	6	0	0
Black	397	2	0	0
Black	402	2	1	0
Black	404	1	0	0
Black	405	1	0	0
Black	406	21	0	0
Black	407	1	0	0
Black	409	1	0	0
Black	410	35	1	0
Black	411	37	7	2
Black	412	5	0	0
