driver_race	location_variable	num_stops	num_searches	num_hits	state	city	county
Black	0	8	3	0	CA	San_Diego	San_Diego
Black	1	12	0	0	CA	San_Diego	San_Diego
Black	2	40	2	0	CA	San_Diego	San_Diego
Black	3	2	0	0	CA	San_Diego	San_Diego
Black	4	29	10	1	CA	San_Diego	San_Diego
Black	5	26	7	0	CA	San_Diego	San_Diego
Black	6	19	3	0	CA	San_Diego	San_Diego
Black	7	17	0	0	CA	San_Diego	San_Diego
Black	8	57	10	3	CA	San_Diego	San_Diego
Black	9	270	66	17	CA	San_Diego	San_Diego
Black	11	2	1	0	CA	San_Diego	San_Diego
Black	41	1	0	0	CA	San_Diego	San_Diego
Black	42	2	0	0	CA	San_Diego	San_Diego
Black	45	2	1	0	CA	San_Diego	San_Diego
Black	46	1	1	0	CA	San_Diego	San_Diego
Black	47	11	5	2	CA	San_Diego	San_Diego
Black	51	6	2	0	CA	San_Diego	San_Diego
Black	52	9	0	0	CA	San_Diego	San_Diego
Black	56	1	0	0	CA	San_Diego	San_Diego
Black	201	1	0	0	CA	San_Diego	San_Diego
Black	202	9	1	0	CA	San_Diego	San_Diego
Black	206	27	3	1	CA	San_Diego	San_Diego
Black	210	18	0	0	CA	San_Diego	San_Diego
Black	211	6	1	0	CA	San_Diego	San_Diego
Black	212	11	0	0	CA	San_Diego	San_Diego
Black	214	26	2	1	CA	San_Diego	San_Diego
Black	215	21	1	0	CA	San_Diego	San_Diego
Black	220	4	0	0	CA	San_Diego	San_Diego
Black	221	43	10	2	CA	San_Diego	San_Diego
Black	222	14	1	1	CA	San_Diego	San_Diego
Black	223	30	1	0	CA	San_Diego	San_Diego
Black	224	6	0	0	CA	San_Diego	San_Diego
Black	230	2	0	0	CA	San_Diego	San_Diego
Black	240	9	0	0	CA	San_Diego	San_Diego
Black	241	39	1	1	CA	San_Diego	San_Diego
Black	242	13	2	0	CA	San_Diego	San_Diego
Black	251	1	0	0	CA	San_Diego	San_Diego
Black	252	1	1	0	CA	San_Diego	San_Diego
Black	253	1	0	0	CA	San_Diego	San_Diego
Black	271	9	2	0	CA	San_Diego	San_Diego
Black	272	4	0	0	CA	San_Diego	San_Diego
Black	273	20	5	1	CA	San_Diego	San_Diego
Black	274	12	0	0	CA	San_Diego	San_Diego
Black	281	1	0	0	CA	San_Diego	San_Diego
Black	291	4	0	0	CA	San_Diego	San_Diego
Black	292	11	0	0	CA	San_Diego	San_Diego
Black	293	3	1	0	CA	San_Diego	San_Diego
Black	294	5	1	0	CA	San_Diego	San_Diego
Black	295	3	0	0	CA	San_Diego	San_Diego
Black	301	6	0	0	CA	San_Diego	San_Diego
Black	302	15	2	1	CA	San_Diego	San_Diego
Black	303	20	5	1	CA	San_Diego	San_Diego
Black	304	3	0	0	CA	San_Diego	San_Diego
Black	305	27	8	0	CA	San_Diego	San_Diego
Black	306	29	5	2	CA	San_Diego	San_Diego
Black	307	25	6	3	CA	San_Diego	San_Diego
Black	308	41	12	2	CA	San_Diego	San_Diego
Black	309	10	2	0	CA	San_Diego	San_Diego
Black	310	27	7	1	CA	San_Diego	San_Diego
Black	311	15	3	0	CA	San_Diego	San_Diego
Black	312	31	4	2	CA	San_Diego	San_Diego
Black	313	19	3	2	CA	San_Diego	San_Diego
Black	314	16	10	1	CA	San_Diego	San_Diego
Black	315	17	1	0	CA	San_Diego	San_Diego
Black	316	25	5	3	CA	San_Diego	San_Diego
Black	317	7	0	0	CA	San_Diego	San_Diego
Black	318	9	3	0	CA	San_Diego	San_Diego
Black	319	5	2	2	CA	San_Diego	San_Diego
Black	323	2	1	0	CA	San_Diego	San_Diego
Black	325	1	0	0	CA	San_Diego	San_Diego
Black	326	2	0	0	CA	San_Diego	San_Diego
Black	328	1	0	0	CA	San_Diego	San_Diego
Black	330	3	0	0	CA	San_Diego	San_Diego
Black	331	3	0	0	CA	San_Diego	San_Diego
Black	332	4	1	0	CA	San_Diego	San_Diego
Black	333	7	5	1	CA	San_Diego	San_Diego
Black	349	12	2	1	CA	San_Diego	San_Diego
Black	350	21	7	0	CA	San_Diego	San_Diego
Black	351	31	4	2	CA	San_Diego	San_Diego
Black	352	14	0	0	CA	San_Diego	San_Diego
Black	353	10	4	1	CA	San_Diego	San_Diego
Black	354	25	5	2	CA	San_Diego	San_Diego
Black	355	36	5	2	CA	San_Diego	San_Diego
Black	356	25	3	0	CA	San_Diego	San_Diego
Black	357	39	13	2	CA	San_Diego	San_Diego
Black	358	20	1	0	CA	San_Diego	San_Diego
Black	359	19	3	1	CA	San_Diego	San_Diego
Black	360	26	5	3	CA	San_Diego	San_Diego
Black	361	9	0	0	CA	San_Diego	San_Diego
Black	362	1	0	0	CA	San_Diego	San_Diego
Black	363	3	0	0	CA	San_Diego	San_Diego
Black	364	3	1	0	CA	San_Diego	San_Diego
Black	365	4	1	0	CA	San_Diego	San_Diego
Black	367	6	3	1	CA	San_Diego	San_Diego
Black	373	3	1	0	CA	San_Diego	San_Diego
Black	375	1	0	0	CA	San_Diego	San_Diego
Black	376	1	1	0	CA	San_Diego	San_Diego
Black	377	5	3	0	CA	San_Diego	San_Diego
Black	378	2	0	0	CA	San_Diego	San_Diego
Black	379	1	1	0	CA	San_Diego	San_Diego
Black	381	8	1	0	CA	San_Diego	San_Diego
Black	382	5	2	0	CA	San_Diego	San_Diego
Black	383	3	1	1	CA	San_Diego	San_Diego
Black	384	7	1	0	CA	San_Diego	San_Diego
Black	385	2	0	0	CA	San_Diego	San_Diego
Black	386	4	0	0	CA	San_Diego	San_Diego
Black	387	1	0	0	CA	San_Diego	San_Diego
Black	388	7	0	0	CA	San_Diego	San_Diego
Black	389	1	0	0	CA	San_Diego	San_Diego
Black	390	4	0	0	CA	San_Diego	San_Diego
Black	392	5	2	0	CA	San_Diego	San_Diego
Black	393	3	0	0	CA	San_Diego	San_Diego
Black	394	1	1	0	CA	San_Diego	San_Diego
Black	395	1	0	0	CA	San_Diego	San_Diego
Black	396	6	0	0	CA	San_Diego	San_Diego
Black	397	2	0	0	CA	San_Diego	San_Diego
Black	402	2	1	0	CA	San_Diego	San_Diego
Black	404	1	0	0	CA	San_Diego	San_Diego
Black	405	1	0	0	CA	San_Diego	San_Diego
Black	406	21	0	0	CA	San_Diego	San_Diego
Black	407	1	0	0	CA	San_Diego	San_Diego
Black	409	1	0	0	CA	San_Diego	San_Diego
Black	410	35	1	0	CA	San_Diego	San_Diego
Black	411	37	7	2	CA	San_Diego	San_Diego
Black	412	5	0	0	CA	San_Diego	San_Diego
Black	413	19	0	0	CA	San_Diego	San_Diego
Black	414	9	0	0	CA	San_Diego	San_Diego
Black	415	50	3	0	CA	San_Diego	San_Diego
Black	416	23	0	0	CA	San_Diego	San_Diego
Black	417	3	0	0	CA	San_Diego	San_Diego
Black	418	1	0	0	CA	San_Diego	San_Diego
Black	419	9	1	0	CA	San_Diego	San_Diego
Black	424	7	2	1	CA	San_Diego	San_Diego
Black	430	8	2	1	CA	San_Diego	San_Diego
Black	431	3	2	1	CA	San_Diego	San_Diego
Black	434	1	0	0	CA	San_Diego	San_Diego
Black	435	5	1	0	CA	San_Diego	San_Diego
Black	436	2	0	0	CA	San_Diego	San_Diego
Black	437	1	1	0	CA	San_Diego	San_Diego
Black	501	1	0	0	CA	San_Diego	San_Diego
Black	502	10	1	1	CA	San_Diego	San_Diego
Black	503	7	1	1	CA	San_Diego	San_Diego
Black	504	2	0	0	CA	San_Diego	San_Diego
Black	505	5	3	2	CA	San_Diego	San_Diego
Black	507	11	1	0	CA	San_Diego	San_Diego
Black	508	3	0	0	CA	San_Diego	San_Diego
Black	509	26	9	2	CA	San_Diego	San_Diego
Black	510	18	2	0	CA	San_Diego	San_Diego
Black	511	22	0	0	CA	San_Diego	San_Diego
Black	512	5	1	0	CA	San_Diego	San_Diego
Black	513	122	44	9	CA	San_Diego	San_Diego
Black	514	100	43	10	CA	San_Diego	San_Diego
Black	515	13	1	0	CA	San_Diego	San_Diego
Black	516	42	5	0	CA	San_Diego	San_Diego
Black	518	98	10	1	CA	San_Diego	San_Diego
Black	519	74	9	2	CA	San_Diego	San_Diego
Black	520	10	1	0	CA	San_Diego	San_Diego
Black	522	2	0	0	CA	San_Diego	San_Diego
Black	523	3	1	0	CA	San_Diego	San_Diego
Black	525	6	6	1	CA	San_Diego	San_Diego
Black	526	1	0	0	CA	San_Diego	San_Diego
Black	527	2	0	0	CA	San_Diego	San_Diego
Black	528	48	8	1	CA	San_Diego	San_Diego
Black	529	30	8	0	CA	San_Diego	San_Diego
Black	530	11	2	0	CA	San_Diego	San_Diego
Black	531	9	2	1	CA	San_Diego	San_Diego
Black	532	11	4	1	CA	San_Diego	San_Diego
Black	533	80	19	6	CA	San_Diego	San_Diego
Black	534	2	0	0	CA	San_Diego	San_Diego
Black	536	1	1	0	CA	San_Diego	San_Diego
Black	539	1	1	0	CA	San_Diego	San_Diego
Black	551	16	6	3	CA	San_Diego	San_Diego
Black	552	4	1	0	CA	San_Diego	San_Diego
Black	553	29	10	2	CA	San_Diego	San_Diego
Black	554	39	7	0	CA	San_Diego	San_Diego
Black	555	1	0	0	CA	San_Diego	San_Diego
Black	556	24	6	2	CA	San_Diego	San_Diego
Black	557	22	9	2	CA	San_Diego	San_Diego
Black	558	4	1	0	CA	San_Diego	San_Diego
Black	559	9	3	1	CA	San_Diego	San_Diego
Black	560	1	0	0	CA	San_Diego	San_Diego
Black	561	7	1	0	CA	San_Diego	San_Diego
Black	601	67	17	1	CA	San_Diego	San_Diego
Black	602	293	108	29	CA	San_Diego	San_Diego
Black	603	114	41	9	CA	San_Diego	San_Diego
Black	604	65	21	4	CA	San_Diego	San_Diego
Black	605	12	3	0	CA	San_Diego	San_Diego
Black	606	35	11	1	CA	San_Diego	San_Diego
Black	607	32	8	2	CA	San_Diego	San_Diego
Black	609	3	0	0	CA	San_Diego	San_Diego
Black	610	1	0	0	CA	San_Diego	San_Diego
Black	611	1	0	0	CA	San_Diego	San_Diego
Black	613	2	0	0	CA	San_Diego	San_Diego
Black	614	31	8	3	CA	San_Diego	San_Diego
Black	615	75	27	5	CA	San_Diego	San_Diego
Black	616	44	8	2	CA	San_Diego	San_Diego
Black	617	14	2	0	CA	San_Diego	San_Diego
Black	618	3	1	1	CA	San_Diego	San_Diego
Black	619	1	0	0	CA	San_Diego	San_Diego
Black	621	35	14	6	CA	San_Diego	San_Diego
Black	622	25	5	0	CA	San_Diego	San_Diego
Black	623	22	5	1	CA	San_Diego	San_Diego
Black	624	38	12	1	CA	San_Diego	San_Diego
Black	625	18	3	1	CA	San_Diego	San_Diego
Black	626	6	1	0	CA	San_Diego	San_Diego
Black	627	4	0	0	CA	San_Diego	San_Diego
Black	628	114	27	9	CA	San_Diego	San_Diego
Black	629	162	46	3	CA	San_Diego	San_Diego
Black	631	3	1	0	CA	San_Diego	San_Diego
Black	632	63	18	4	CA	San_Diego	San_Diego
Black	633	88	12	3	CA	San_Diego	San_Diego
Black	634	1	0	0	CA	San_Diego	San_Diego
Black	635	4	1	0	CA	San_Diego	San_Diego
Black	638	1	0	0	CA	San_Diego	San_Diego
Black	639	5	0	0	CA	San_Diego	San_Diego
Black	700	45	5	0	CA	San_Diego	San_Diego
Black	701	7	2	0	CA	San_Diego	San_Diego
Black	702	85	30	7	CA	San_Diego	San_Diego
Black	703	14	2	0	CA	San_Diego	San_Diego
Black	704	23	6	0	CA	San_Diego	San_Diego
Black	705	13	3	0	CA	San_Diego	San_Diego
Black	706	79	14	1	CA	San_Diego	San_Diego
Black	707	3	0	0	CA	San_Diego	San_Diego
Black	708	2	0	0	CA	San_Diego	San_Diego
Black	709	8	3	1	CA	San_Diego	San_Diego
Black	710	29	11	2	CA	San_Diego	San_Diego
Black	720	3	0	0	CA	San_Diego	San_Diego
Black	721	25	3	1	CA	San_Diego	San_Diego
Black	722	11	1	0	CA	San_Diego	San_Diego
Black	727	4	1	0	CA	San_Diego	San_Diego
Black	728	11	4	4	CA	San_Diego	San_Diego
Black	801	1	0	0	CA	San_Diego	San_Diego
Black	802	2	0	0	CA	San_Diego	San_Diego
Black	804	14	6	3	CA	San_Diego	San_Diego
Black	807	2	2	0	CA	San_Diego	San_Diego
Black	808	8	1	1	CA	San_Diego	San_Diego
Black	809	7	4	0	CA	San_Diego	San_Diego
Black	812	2	1	0	CA	San_Diego	San_Diego
Black	814	23	2	1	CA	San_Diego	San_Diego
Black	816	6	0	0	CA	San_Diego	San_Diego
Black	817	1	0	0	CA	San_Diego	San_Diego
Black	818	6	3	2	CA	San_Diego	San_Diego
Black	819	3	1	0	CA	San_Diego	San_Diego
Black	827	3	0	0	CA	San_Diego	San_Diego
Black	828	3	0	0	CA	San_Diego	San_Diego
Black	829	1	0	0	CA	San_Diego	San_Diego
Black	832	1	1	1	CA	San_Diego	San_Diego
Black	835	1	1	0	CA	San_Diego	San_Diego
Black	842	2	0	0	CA	San_Diego	San_Diego
Black	843	2	0	0	CA	San_Diego	San_Diego
Black	847	1	0	0	CA	San_Diego	San_Diego
Black	850	2	0	0	CA	San_Diego	San_Diego
Black	851	1	1	0	CA	San_Diego	San_Diego
Black	852	1	0	0	CA	San_Diego	San_Diego
Black	853	2	0	0	CA	San_Diego	San_Diego
Black	855	10	3	2	CA	San_Diego	San_Diego
Black	876	1	0	0	CA	San_Diego	San_Diego
Black	877	3	0	0	CA	San_Diego	San_Diego
Black	878	1	0	0	CA	San_Diego	San_Diego
Black	879	5	0	0	CA	San_Diego	San_Diego
Black	880	6	2	0	CA	San_Diego	San_Diego
Black	881	1	0	0	CA	San_Diego	San_Diego
Black	884	8	2	0	CA	San_Diego	San_Diego
Black	885	3	0	0	CA	San_Diego	San_Diego
Black	999	1683	378	82	CA	San_Diego	San_Diego
Hispanic	0	29	7	1	CA	San_Diego	San_Diego
Hispanic	1	87	8	2	CA	San_Diego	San_Diego
Hispanic	2	348	38	7	CA	San_Diego	San_Diego
Hispanic	3	14	0	0	CA	San_Diego	San_Diego
Hispanic	4	51	12	0	CA	San_Diego	San_Diego
Hispanic	5	117	31	5	CA	San_Diego	San_Diego
Hispanic	6	28	5	4	CA	San_Diego	San_Diego
Hispanic	7	110	11	2	CA	San_Diego	San_Diego
Hispanic	8	170	48	7	CA	San_Diego	San_Diego
Hispanic	9	1292	194	28	CA	San_Diego	San_Diego
Hispanic	11	8	5	0	CA	San_Diego	San_Diego
Hispanic	42	2	1	1	CA	San_Diego	San_Diego
Hispanic	45	1	0	0	CA	San_Diego	San_Diego
Hispanic	46	3	3	0	CA	San_Diego	San_Diego
Hispanic	47	5	1	0	CA	San_Diego	San_Diego
Hispanic	51	15	2	1	CA	San_Diego	San_Diego
Hispanic	52	28	6	1	CA	San_Diego	San_Diego
Hispanic	56	3	0	0	CA	San_Diego	San_Diego
Hispanic	201	11	0	0	CA	San_Diego	San_Diego
Hispanic	202	55	1	0	CA	San_Diego	San_Diego
Hispanic	203	1	0	0	CA	San_Diego	San_Diego
Hispanic	204	6	4	4	CA	San_Diego	San_Diego
Hispanic	206	86	10	2	CA	San_Diego	San_Diego
Hispanic	208	1	0	0	CA	San_Diego	San_Diego
Hispanic	210	80	9	4	CA	San_Diego	San_Diego
Hispanic	211	29	7	1	CA	San_Diego	San_Diego
Hispanic	212	79	2	0	CA	San_Diego	San_Diego
Hispanic	214	70	6	1	CA	San_Diego	San_Diego
Hispanic	215	124	7	3	CA	San_Diego	San_Diego
Hispanic	220	24	6	0	CA	San_Diego	San_Diego
Hispanic	221	119	28	10	CA	San_Diego	San_Diego
Hispanic	222	137	19	3	CA	San_Diego	San_Diego
Hispanic	223	161	4	1	CA	San_Diego	San_Diego
Hispanic	224	55	3	0	CA	San_Diego	San_Diego
Hispanic	230	7	0	0	CA	San_Diego	San_Diego
Hispanic	240	49	2	0	CA	San_Diego	San_Diego
Hispanic	241	198	11	1	CA	San_Diego	San_Diego
Hispanic	242	53	4	0	CA	San_Diego	San_Diego
Hispanic	250	1	0	0	CA	San_Diego	San_Diego
Hispanic	251	4	1	0	CA	San_Diego	San_Diego
Hispanic	252	3	0	0	CA	San_Diego	San_Diego
Hispanic	253	2	1	0	CA	San_Diego	San_Diego
Hispanic	271	42	1	0	CA	San_Diego	San_Diego
Hispanic	272	41	0	0	CA	San_Diego	San_Diego
Hispanic	273	115	18	5	CA	San_Diego	San_Diego
Hispanic	274	40	2	0	CA	San_Diego	San_Diego
Hispanic	281	1	0	0	CA	San_Diego	San_Diego
Hispanic	282	1	0	0	CA	San_Diego	San_Diego
Hispanic	291	26	5	0	CA	San_Diego	San_Diego
Hispanic	292	27	1	0	CA	San_Diego	San_Diego
Hispanic	293	9	0	0	CA	San_Diego	San_Diego
Hispanic	294	19	0	0	CA	San_Diego	San_Diego
Hispanic	295	16	0	0	CA	San_Diego	San_Diego
Hispanic	296	2	0	0	CA	San_Diego	San_Diego
Hispanic	301	73	16	3	CA	San_Diego	San_Diego
Hispanic	302	121	34	8	CA	San_Diego	San_Diego
Hispanic	303	138	47	7	CA	San_Diego	San_Diego
Hispanic	304	43	12	4	CA	San_Diego	San_Diego
