location_variable,total_stops
111,1988
112,712
113,637
114,1584
115,1658
116,2091
121,3620
122,10945
123,2119
124,1587
125,8
126,63
231,455
232,522
233,597
234,986
235,42
241,243
242,2083
243,368
245,38
311,1564
312,436
313,3249
314,274
315,2698
316,186
321,1317
322,472
323,265
324,507
325,199
326,443
327,609
431,662
432,785
433,566
434,491
436,651
437,880
438,274
439,58
441,2136
442,1037
443,385
444,603
445,485
446,1866
447,712
451,887
452,346
511,3169
512,5217
514,1817
515,627
516,633
517,827
518,272
521,13109
522,1098
523,3197
524,4409
525,625
526,978
527,362
528,581
529,1234
531,1755
541,1454
611,6623
612,273
613,1375
614,3881
615,533
617,49
618,101
621,2010
622,811
623,1279
624,829
625,1061
626,391
627,4069
628,397
711,71
712,5131
713,980
714,712
721,1521
722,1031
723,2671
724,1435
725,706
811,726
812,5
813,4262
814,311
821,1646
822,763
823,362
824,891
825,463
826,1925
827,309
828,179
829,9
831,1383
832,1336
833,714
834,1008
835,431
836,278
837,162
838,1021
839,427
841,213
931,1099
932,93
933,546
934,1698
935,295
936,84
937,347
999,3548
