location_variable,total_stops
111,1047
112,430
113,350
114,949
115,823
116,1312
121,1672
122,3950
123,693
124,825
125,28
126,40
231,388
232,367
233,238
234,610
235,24
241,124
242,1004
243,272
245,6
246,47
311,800
312,194
313,2381
314,79
315,1291
316,98
321,555
322,251
323,99
324,244
325,111
326,309
327,250
431,416
432,449
433,339
434,281
435,10
436,369
437,450
438,171
439,44
441,1176
442,558
443,215
444,291
445,253
446,1064
447,334
451,330
452,201
511,1195
512,1409
514,438
515,275
516,246
517,296
518,95
521,2782
522,251
523,1340
524,1772
525,223
526,401
527,59
528,126
529,389
531,222
541,84
611,1791
612,78
613,529
614,804
615,191
617,14
618,50
621,879
622,251
623,421
624,231
625,279
626,152
627,1182
628,73
711,48
712,2696
713,800
714,294
721,578
722,526
723,1293
724,586
725,370
811,258
812,21
813,1213
814,134
821,794
822,325
823,42
824,418
825,247
826,115
827,117
828,35
829,3
831,653
832,580
833,255
834,387
835,139
836,98
837,76
838,443
839,112
841,24
931,808
932,53
933,457
934,1097
935,125
936,30
937,209
999,2611
