location_variable,total_stops
0,8
1,12
2,40
3,2
4,29
5,26
6,19
7,17
8,57
9,270
11,2
41,1
42,2
45,2
46,1
47,11
51,6
52,9
56,1
201,1
202,9
206,27
210,18
211,6
212,11
214,26
215,21
220,4
221,43
222,14
223,30
224,6
230,2
240,9
241,39
242,13
251,1
252,1
253,1
271,9
272,4
273,20
274,12
281,1
291,4
292,11
293,3
294,5
295,3
301,6
302,15
303,20
304,3
305,27
306,29
307,25
308,41
309,10
310,27
311,15
312,31
313,19
314,16
315,17
316,25
317,7
318,9
319,5
323,2
325,1
326,2
328,1
330,3
331,3
332,4
333,7
349,12
350,21
351,31
352,14
353,10
354,25
355,36
356,25
357,39
358,20
359,19
360,26
361,9
362,1
363,3
364,3
365,4
367,6
373,3
375,1
376,1
377,5
378,2
379,1
381,8
382,5
383,3
384,7
385,2
386,4
387,1
388,7
389,1
390,4
392,5
393,3
394,1
395,1
396,6
397,2
402,2
404,1
405,1
406,21
407,1
409,1
410,35
411,37
412,5
413,19
414,9
415,50
416,23
417,3
418,1
419,9
424,7
430,8
431,3
434,1
435,5
436,2
437,1
501,1
502,10
503,7
504,2
505,5
507,11
508,3
509,26
510,18
511,22
512,5
513,122
514,100
515,13
516,42
518,98
519,74
520,10
522,2
523,3
525,6
526,1
527,2
528,48
529,30
530,11
531,9
532,11
533,80
534,2
536,1
539,1
551,16
552,4
553,29
554,39
555,1
556,24
557,22
558,4
559,9
560,1
561,7
601,67
602,293
603,114
604,65
605,12
606,35
607,32
609,3
610,1
611,1
613,2
614,31
615,75
616,44
617,14
618,3
619,1
621,35
622,25
623,22
624,38
625,18
626,6
627,4
628,114
629,162
631,3
632,63
633,88
634,1
635,4
638,1
639,5
700,45
701,7
702,85
703,14
704,23
705,13
706,79
707,3
708,2
709,8
710,29
720,3
721,25
722,11
727,4
728,11
801,1
802,2
804,14
807,2
808,8
809,7
812,2
814,23
816,6
817,1
818,6
819,3
827,3
828,3
829,1
832,1
835,1
842,2
843,2
847,1
850,2
851,1
852,1
853,2
855,10
876,1
877,3
878,1
879,5
880,6
881,1
884,8
885,3
999,1683
0,29
1,87
2,348
3,14
4,51
5,117
6,28
7,110
8,170
9,1292
11,8
42,2
45,1
46,3
47,5
51,15
52,28
56,3
201,11
202,55
203,1
204,6
206,86
208,1
210,80
211,29
212,79
214,70
215,124
220,24
221,119
222,137
223,161
224,55
230,7
240,49
241,198
242,53
250,1
251,4
252,3
253,2
271,42
272,41
273,115
274,40
281,1
282,1
291,26
292,27
293,9
294,19
295,16
296,2
301,73
302,121
303,138
304,43
305,364
306,546
307,193
308,289
309,57
310,165
311,84
312,110
313,87
314,70
315,104
316,66
317,46
318,38
319,44
321,1
323,14
324,4
325,8
326,15
327,4
328,16
329,3
330,6
331,23
332,17
333,29
349,58
350,324
351,163
352,143
353,66
354,77
355,268
356,155
357,213
358,122
359,104
360,99
361,66
362,5
363,12
364,6
365,4
366,4
367,6
371,6
373,50
375,8
376,6
377,2
378,9
379,2
380,2
381,115
382,85
383,18
384,92
385,75
386,11
387,8
388,27
389,13
390,30
391,10
392,9
393,35
394,2
395,2
396,39
397,1
398,3
401,2
402,6
404,4
405,1
406,85
407,10
408,4
409,5
410,183
411,98
412,38
413,71
414,27
415,200
416,76
417,25
418,2
419,19
422,1
423,3
424,35
430,147
431,37
434,1
435,94
436,51
437,4
438,9
439,7
440,2
441,6
443,1
502,14
503,19
504,6
505,3
507,26
508,16
509,21
510,35
511,52
512,13
513,182
514,102
515,18
516,68
518,229
519,220
520,45
521,7
522,12
523,18
524,11
525,9
526,10
527,11
528,126
529,85
530,31
531,38
532,26
533,167
534,5
539,1
540,1
551,108
552,28
553,63
554,128
555,7
556,51
557,78
558,21
559,16
560,4
561,14
563,5
564,1
601,96
602,309
603,127
604,56
605,16
606,32
607,37
609,8
610,3
611,9
613,5
614,35
615,79
616,55
617,21
618,21
619,1
621,69
622,40
623,24
624,87
625,49
626,58
627,34
628,146
629,243
631,13
632,87
633,125
634,5
635,9
638,2
639,11
700,20
701,62
702,413
703,120
704,96
705,74
706,300
707,32
708,9
709,35
710,137
711,1
720,41
721,81
722,36
724,8
726,3
727,16
728,27
801,5
802,2
803,3
804,50
805,5
807,12
808,25
809,27
811,1
812,19
813,9
814,71
815,7
816,48
817,35
818,21
819,11
820,16
821,1
826,1
827,4
828,14
832,3
834,1
841,2
842,30
843,1
850,29
851,1
852,13
853,6
855,22
856,1
870,4
871,5
873,3
874,2
876,5
877,59
878,138
879,21
880,26
881,8
882,1
884,22
885,4
999,6096
0,52
1,185
2,84
3,16
4,125
5,166
6,63
7,40
8,274
9,703
11,13
41,3
42,4
45,4
46,4
47,23
51,27
52,12
56,3
201,9
202,49
203,2
204,3
206,305
208,2
210,535
211,119
212,240
214,321
215,525
220,66
221,676
222,335
223,784
224,261
230,27
240,200
241,922
242,203
250,15
251,17
252,8
253,14
271,228
272,195
273,328
274,142
281,5
282,4
291,86
292,87
293,28
294,64
295,61
296,1
301,73
302,72
303,114
304,44
305,195
306,295
307,195
308,258
309,73
310,157
311,73
312,169
313,123
314,85
315,179
316,139
317,56
318,82
319,51
323,12
324,4
325,1
326,18
327,7
328,13
329,2
330,4
331,38
332,39
333,40
349,159
350,216
351,227
352,138
353,112
354,218
355,258
356,175
357,335
358,321
359,166
360,250
361,170
362,20
363,16
364,10
365,21
366,4
367,1
369,1
371,6
373,103
375,10
376,3
377,3
378,2
379,5
380,10
381,103
382,91
383,23
384,75
385,57
386,15
387,14
388,36
389,12
390,36
391,30
392,18
393,49
394,2
395,6
396,57
397,6
398,4
401,2
402,17
403,6
404,15
405,15
406,310
407,39
408,2
409,16
410,466
411,317
412,121
413,194
414,77
415,569
416,275
417,67
418,4
419,77
420,1
422,6
423,10
424,105
430,303
431,82
432,2
433,8
434,8
435,221
436,119
437,18
438,17
439,19
440,22
441,9
442,1
445,3
501,2
502,114
503,106
504,18
505,14
507,158
508,68
509,176
510,180
511,265
512,95
513,714
514,469
515,125
516,319
518,855
519,676
520,108
521,26
522,26
523,37
524,31
525,43
526,30
527,100
528,509
529,293
530,140
531,170
532,153
533,448
534,16
535,2
536,12
538,1
540,1
551,338
552,82
553,85
554,204
555,20
556,170
557,281
558,49
559,47
560,10
561,20
562,2
563,10
564,6
601,109
602,298
603,142
604,40
605,23
606,54
607,35
609,16
610,9
611,13
612,4
613,14
614,50
615,102
616,138
617,40
618,30
619,2
620,1
621,96
622,51
623,51
624,90
625,87
626,70
627,18
628,99
629,195
631,11
632,96
633,109
634,4
635,8
638,4
639,10
700,52
701,34
702,278
703,117
704,87
705,55
706,261
707,26
708,21
709,53
710,76
712,1
720,20
721,77
722,31
724,1
727,2
728,16
801,12
802,4
803,3
804,94
805,14
806,2
807,7
808,36
809,45
810,1
811,2
812,22
813,21
814,122
815,2
816,77
817,40
818,27
819,19
820,54
824,1
826,2
827,31
828,34
829,2
831,8
832,54
833,6
835,1
841,14
842,43
843,5
847,3
850,36
851,6
852,23
853,9
855,26
870,3
871,11
873,3
874,4
876,2
877,37
878,49
879,29
880,41
881,24
882,2
883,1
884,89
885,12
886,2
887,2
889,3
999,11379
